,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,ZipCodes
31080,53965605,Spacious studio apt in Williamsburg!,420088913,Hershey,Brooklyn,Williamsburg,40.70909,-73.94878,Entire home/apt,261,2,48,2022-09-02,5.67,13,289,48,,11206
31082,53848017,*Charming~Bright~Brooklyn Apt*,7013830,Hatnim,Brooklyn,Bushwick,40.68649,-73.91274,Entire home/apt,225,3,4,2022-07-27,0.48,1,49,4,,11207
31084,53849102,paradiso estupendo,378618797,Babatunde,Brooklyn,Cypress Hills,40.67667,-73.89161,Entire home/apt,200,1,19,2022-08-07,2.28,1,362,19,,11207
31085,53966121,Lovely 1-bedroom rental unit in Brooklyn,10135094,Kristen,Brooklyn,Williamsburg,40.70872,-73.96525,Entire home/apt,125,6,0,,,1,0,0,,11249
31089,54090896,Charming 1-bedroom Williamsburg apartment!,71370979,Hayley,Brooklyn,Williamsburg,40.72036,-73.95967,Entire home/apt,275,2,4,2022-08-14,0.6,1,262,4,,11249
31090,54093240,"Comfy room in 4b Skylight, Nectar Full By JLC tra",10387090,Luis Enrique,Brooklyn,Bushwick,40.68333,-73.90827,Private room,36,30,2,2022-08-01,0.6,10,34,2,,11207
31092,54019918,"New Modern Apt room, close:Metro/Costco/IndustryCT",437369234,Jason,Brooklyn,Sunset Park,40.65518,-74.00206,Private room,63,30,1,2022-06-16,0.36,3,310,1,,11232
31101,53966415,"Perfect, peaceful, private 2bd/1ba apt in Brooklyn",437162526,Easton,Brooklyn,Bedford-Stuyvesant,40.68753,-73.92684,Entire home/apt,243,3,24,2022-08-21,3.89,2,332,24,,11221
31102,54095786,"New 2 window large room, 29 min to Manhattan #110",3223938,Eugene,Brooklyn,Flatbush,40.64745,-73.95401,Private room,33,90,0,,,288,219,0,,11226
31105,54097014,Two-Level East Williamsburg Loft,192959601,Steven,Brooklyn,Williamsburg,40.70572,-73.93323,Private room,53,3,30,2022-08-26,3.81,1,157,30,,11206
31107,53967351,Snug & Cozy Room || Park Slope,33612342,Sayra,Brooklyn,Sunset Park,40.65943,-73.99019,Private room,115,2,7,2022-08-18,0.84,6,2,7,,11215
31109,53970207,"Private 2bd/1ba w/ kitchen: quiet, clean & comfy",437162526,Easton,Brooklyn,Bedford-Stuyvesant,40.6892,-73.92738,Entire home/apt,249,3,22,2022-08-21,3.57,2,341,22,,11221
31110,53970600,Beautiful Modern Coliving Space in Brooklyn,431476577,SharedEasy,Brooklyn,Bedford-Stuyvesant,40.68676,-73.91743,Private room,66,90,0,,,9,329,0,,11207
31111,53970630,"Quiet, zen 1bd apt with private garden w/ HOT TUB",39808438,Easton,Brooklyn,Bedford-Stuyvesant,40.68794,-73.92741,Entire home/apt,314,3,15,2022-08-08,2.37,2,71,15,,11221
31112,53970830,Well-designed Private bedroom | Brooklyn |Coliving,431476577,SharedEasy,Brooklyn,Bushwick,40.68876,-73.91764,Private room,66,90,0,,,9,329,0,,11221
31113,53970914,Amazing private room in boutique house (Brooklyn),128244964,Camila,Brooklyn,Crown Heights,40.67355,-73.92831,Private room,90,5,1,2022-02-22,0.15,4,45,1,,11213
31115,53971044,Lovely 1bd /1ba apt in Bedstuy w/ full kitchen,16918947,Erika,Brooklyn,Bedford-Stuyvesant,40.68826,-73.92743,Entire home/apt,224,3,19,2022-08-21,3.0,1,339,19,,11221
31117,54029520,"An Oasis in the Heart of Williamsburg, BK",48086821,Jason,Brooklyn,Williamsburg,40.71396,-73.94837,Private room,57,2,22,2022-09-02,4.78,1,175,22,,11211
31124,54031539,Clean comfortable room(wifi/AC),391183792,Borna,Brooklyn,Flatbush,40.6426435610476,-73.95588567404242,Private room,65,1,4,2022-08-18,3.75,1,131,4,,11226
31125,54031914,Artsy Private Room in Brooklyn,65611806,Shay,Brooklyn,Bushwick,40.70085,-73.9292,Private room,97,1,5,2022-05-18,0.6,4,340,5,,11206
31126,54032853,Sunny townhouse apartment 2 blocks to subway,8857591,Emma,Brooklyn,Bedford-Stuyvesant,40.68401,-73.9561,Entire home/apt,131,30,3,2022-07-18,0.41,2,264,3,,11216
31131,53971507,2br/2bth in-unit w/d in heart of Bed-stuy,59054124,Ryan,Brooklyn,Bedford-Stuyvesant,40.6806,-73.93747,Entire home/apt,290,5,8,2022-07-24,1.6,1,341,8,,11233
31137,54102963,Private Room in Lovely Greenpoint,3229596,Paul,Brooklyn,Greenpoint,40.72389,-73.94966,Private room,91,2,37,2022-08-30,4.85,2,90,37,,11222
31148,53981239,"Spacious, well-located 2-bedroom in Bushwick",21772781,Edward,Brooklyn,Bushwick,40.70084,-73.91525,Entire home/apt,200,1,19,2022-08-01,2.43,2,0,19,,11237
31153,54103419,SABA/SGU Medical Student Housing near Brookdale,27741331,Lyn,Brooklyn,East Flatbush,40.65579,-73.91929,Private room,38,30,1,2022-04-25,0.22,6,200,1,,11212
31160,53988526,"New Modern Apt room, close:Metro/Costco/IndustryCT",437369234,Jason,Brooklyn,Sunset Park,40.65362,-74.00206,Private room,59,30,3,2022-07-31,0.45,3,263,3,,11232
31161,53988568,"HDTV room in Sheepshead Bay, large closet – #43",3223938,Eugene,Brooklyn,Sheepshead Bay,40.5926,-73.95097,Private room,28,90,0,,,288,170,0,,11235
31162,53988773,Modern Apt room: close Metro/Costco/Industry City,437369234,Jason,Brooklyn,Sunset Park,40.65388,-74.00239,Private room,58,30,1,2022-05-02,0.23,3,269,1,,11232
31164,53990862,AVIGAIL-  LUXURY APARTMENT WITH A BALCONY,170964868,Leo,Brooklyn,Bedford-Stuyvesant,40.67786,-73.91062,Entire home/apt,219,4,17,2022-09-06,2.05,7,349,17,,11233
31166,53991773,2 Bedroom Apartment in Bedford Historic District,2311451,Brendon,Brooklyn,Bedford-Stuyvesant,40.68162870247254,-73.95217895507814,Entire home/apt,190,30,0,,,1,0,0,,11216
31169,53991945,Giant Room in Spacious Appartment,5028297,Charles,Brooklyn,Crown Heights,40.67437785198885,-73.94651791244367,Private room,163,3,0,,,2,129,0,,11213
31170,53991974,Spacious room in Gigantic Apartment!,5028297,Charles,Brooklyn,Crown Heights,40.67512122271636,-73.94670549223714,Private room,160,4,1,2022-08-28,1.0,2,191,1,,11213
31172,53992359,"Lovely one bedroom
Rental unit",263937485,Rochelle,Brooklyn,Prospect Heights,40.6732,-73.96697,Private room,254,1,0,,,2,319,0,,11238
31175,54039017,Bright & Modern Oasis near City/Trains/Hospitals,437920425,Krystle,Brooklyn,Bedford-Stuyvesant,40.69321,-73.93711,Entire home/apt,208,3,34,2022-08-20,4.1,3,315,34,,11206
31176,54108028,ENTIRE Prospect Park Apartment!,429247380,Colin,Brooklyn,Prospect-Lefferts Gardens,40.660683,-73.961281,Entire home/apt,93,30,0,,,1,342,0,,11225
31178,54039740,Bright & Modern Oasis near City/Trains/Hospitals,437920425,Krystle,Brooklyn,Bedford-Stuyvesant,40.69297,-73.93761,Entire home/apt,203,3,20,2022-08-07,2.42,3,310,20,,11206
