,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,ZipCodes
35117,641072234133563797,"E. Village 1BR w/ W/D, on prime corner",107434423,Blueground,Manhattan,East Village,40.730657,-73.988651,Entire home/apt,405,31,0,,,453,265,0,,10003
35121,641954466880072609,Luxury PH 1bd w Private Bath,8819541,Brenton,Manhattan,East Village,40.72904,-73.98057,Private room,399,3,0,,,2,182,0,,10009
35126,642004894846322446,Large Furnished Room,462558289,Cui Miu,Manhattan,East Harlem,40.80002,-73.94409,Private room,97,1,31,2022-09-05,10.22,1,25,31,,10035
35128,641140217512613023,"Beautiful apartment, 5'away from Central Park",24107131,Alberto,Manhattan,Hell's Kitchen,40.76717805003537,-73.9849081429791,Entire home/apt,350,18,1,2022-09-01,1.0,1,18,1,,10019
35131,641195737727189437,*Charming Apartment in the Heart of East Village*,5588820,Liam,Manhattan,East Village,40.72955,-73.98168,Entire home/apt,195,3,1,2022-06-15,0.35,1,0,1,,10009
35134,639192994725248908,Super Cozy Entire Apartment,393897747,Stay And Smile,Manhattan,Upper East Side,40.78160212818732,-73.95246364563606,Entire home/apt,331,3,7,2022-08-22,2.56,19,351,7,,10128
35135,639196452156053296,Entire Apartment in Upper West Side,393897747,Stay And Smile,Manhattan,Upper West Side,40.78344265281737,-73.97748022593453,Entire home/apt,329,3,5,2022-08-08,1.88,19,358,5,,10024
35147,642204005625892887,2-BEDROOMS BEST LOCATION / HARLEM,247900596,Sergo,Manhattan,Harlem,40.80626,-73.94668,Entire home/apt,295,1,14,2022-08-28,4.77,3,298,14,,10027
35149,642454186211881020,"Spacious 2BR, charming entire private floor.",462640737,Dror,Manhattan,East Village,40.72454,-73.98335,Entire home/apt,310,4,9,2022-09-01,3.14,1,29,9,,10009
35153,642588299179510949,1br rental in the heart of central Harlem.,462673845,Theresa,Manhattan,Harlem,40.81698,-73.93999,Entire home/apt,200,30,0,,,1,263,0,,10030
35154,642597484532841028,10mn Walk To The Empire State,458818439,Lillian,Manhattan,Chelsea,40.74859,-73.99544,Entire home/apt,1200,3,9,2022-09-04,5.4,1,298,9,,10001
35157,639271386284858648,Incredible Loft in Tribeca,12637244,Max,Manhattan,Tribeca,40.71942,-74.00949,Entire home/apt,600,1,0,,,1,0,0,,10013
35160,643088073407552149,Stylish + cozy UWS 1BR by Riverside Park,3004407,Jeff,Manhattan,Upper West Side,40.7862473664864,-73.97930959402643,Entire home/apt,199,30,0,,,1,344,0,,10024
35169,642634653928211894,Luxury 1Br Apt located on the Highline!!,12882345,Grant,Manhattan,Chelsea,40.74319,-74.00535,Entire home/apt,350,5,0,,,1,8,0,,10011
35171,639333129047840947,Comfortable Room,304541267,Roberto Carlos,Manhattan,Washington Heights,40.84171,-73.93577,Private room,90,30,1,2022-07-11,0.51,3,351,1,,10032
35174,639375848801087010,Lovely 2-BR furnished rental in prime East Village,20778884,Jessica,Manhattan,East Village,40.72472682837691,-73.98459010331638,Entire home/apt,175,30,1,2022-08-29,1.0,1,278,1,,10009
35177,644896106695868703,Delightful New 1Bdrm Apt In the Heart Of NYC!,339950390,Jesus,Manhattan,Midtown,40.75564,-73.96944,Entire home/apt,381,3,14,2022-08-28,4.94,4,332,14,,10022
35182,643336847472953463,New York City View 2 Bedroom APT in Midtown,341752262,Henry,Manhattan,Chelsea,40.74836,-73.98899,Entire home/apt,493,1,15,2022-08-28,5.62,13,153,15,,10001
35183,642646193979422514,Upper east side private bedroom,432406423,Elmar,Manhattan,Upper East Side,40.77505,-73.9605,Private room,200,1,0,,,1,335,0,,10075
35184,643338127889711341,Stunning 3Bed/2BA - New Condo in Prime Upper West,267647386,Liam,Manhattan,Upper West Side,40.78801,-73.97279,Entire home/apt,668,5,10,2022-08-22,3.49,1,8,10,,10024
35185,643353860338522012,UWS2C Twin Room 3,436303062,Chiu Yi,Manhattan,Morningside Heights,40.80417,-73.96484,Private room,89,1,3,2022-08-22,1.14,6,27,3,,10025
35186,643406530097775941,Luxury 1 bd Apartment,17984804,Randy & Judy,Manhattan,Hell's Kitchen,40.7614804,-73.9986128,Entire home/apt,375,6,2,2022-07-05,0.69,1,9,2,,10036
35187,643420063748562514,New Luxury NY condo Midtown West side- Quiet,268644876,Lawrence,Manhattan,Hell's Kitchen,40.76236,-73.98798,Entire home/apt,160,90,1,2022-07-10,0.5,1,254,1,,10019
35188,643420360435877780,Private BR Magical Peaceful Tidy and Bright,100809424,Yael,Manhattan,Upper East Side,40.76451,-73.95867,Private room,141,1,8,2022-08-26,3.12,1,333,8,,10065
35197,644914125634962372,Sunny New York apartment with beautiful view,345785110,Betsy,Manhattan,Chelsea,40.73764,-73.99474,Entire home/apt,170,30,0,,,1,158,0,,10011
35198,644915300326738918,Convenient Midtown Manhattan Designer Brownstone,2413969,Kristoffer,Manhattan,Kips Bay,40.743933567065966,-73.97918407366608,Entire home/apt,359,6,0,,,1,123,0,,10016
35201,644940552640814865,Chelsea apartment for rent,463267338,G,Manhattan,Chelsea,40.74098,-74.00056,Entire home/apt,135,30,1,2022-09-04,1.0,1,83,1,,10011
35204,644960069324573869,"Lovely, Large Private Room in Manhattan",161369795,Khadeeja,Manhattan,Washington Heights,40.85225,-73.93764,Private room,90,1,13,2022-08-22,4.29,1,0,13,,10033
35205,642693769449691921,Beautiful Studio in the Heart of New York City,128899955,Nishi,Manhattan,Midtown,40.75783,-73.97656,Private room,350,3,0,,,1,209,0,,10022
35207,642755693102173459,Bright cozy studio steps away from Central Park,91565089,Anastasia,Manhattan,Upper West Side,40.77779,-73.98547,Entire home/apt,186,4,2,2022-08-26,2.0,1,5,2,,10023
35213,642774596869493738,Cute & Spacious Condo in New York @ Prime Location,354087992,David,Manhattan,Upper East Side,40.76128,-73.96072,Entire home/apt,505,1,4,2022-08-05,1.4,17,87,4,,10155
35219,644978810466462369,Bright & spacious apartment in Downtown Manhattan!,83908657,Alex,Manhattan,East Village,40.72958295814139,-73.98733159321003,Entire home/apt,350,3,1,2022-07-31,0.77,1,214,1,,10003
35221,644996126447510028,The Heart of Little Italy / Soho ❤️,26080800,Ronald,Manhattan,Little Italy,40.72054,-73.99785,Entire home/apt,360,2,4,2022-08-24,2.61,2,133,4,,10013
35223,645004934346576368,Luxurious 3 BEDROOM IN THE HEART OF Times Square,21345577,Amber,Manhattan,Hell's Kitchen,40.76206435833712,-73.99349009339,Entire home/apt,979,2,0,,,1,349,0,,10036
35226,642879449419186999,Studio apartment steps from the NY Stock Exchange,12388999,Sonia,Manhattan,Financial District,40.70528970371512,-74.01053326071472,Entire home/apt,153,5,5,2022-08-22,2.03,1,86,5,,10038
35235,643751687258267958,"Outstanding view, perfect location, great interior",14072923,Victoria,Manhattan,Theater District,40.75785,-73.98502,Entire home/apt,273,3,1,2022-08-22,1.0,2,63,1,,10036
35245,645067802724119686,Perfect 3 Bedroom by the Empire State & Hospitals,270309706,Axay,Manhattan,Midtown,40.74882,-73.98318,Entire home/apt,442,5,7,2022-08-15,2.59,1,103,7,,10016
35246,645096335240771835,Nice and Comfortable 1-bedroom rental in New York,452903553,Malick,Manhattan,Harlem,40.80996,-73.94252,Private room,95,2,8,2022-08-31,3.29,1,275,8,,10027
35248,643932593579403911,Cozy 1BR in NYC! Near Time Square!,451917420,Rachelle,Manhattan,Hell's Kitchen,40.75758,-73.99427,Entire home/apt,232,1,1,2022-08-11,1.0,1,179,1,,10018
35249,642955741043159937,LOVELY ONE BEDROOM IN NEW YORK CITY'S HEART !,245464213,Lela,Manhattan,Hell's Kitchen,40.76581,-73.99542,Private room,119,1,2,2022-06-19,0.68,2,120,2,,10019
35251,645120081701424101,Studio apartment in New York,43823149,Elizaveta,Manhattan,Kips Bay,40.74252,-73.98232,Entire home/apt,299,3,4,2022-09-05,1.48,1,219,4,,10016
35254,645162470599423783,Great 2 bedroom apt steps from Central Park & Met,5588970,Fatou N.,Manhattan,Upper East Side,40.78094457804019,-73.9594117552042,Entire home/apt,655,3,1,2022-06-28,0.42,1,112,1,,10028
35256,645187361458455249,Cozy~2BR EntireApartment~near East River,460051201,Iliya,Manhattan,Stuyvesant Town,40.73077,-73.97994,Entire home/apt,500,5,10,2022-08-07,3.37,3,126,10,,10009
35257,647125962319558621,Cosy  Large Prime Location 2 BR's 86th st~Near MET,40523974,Yael,Manhattan,Upper East Side,40.78069,-73.9532,Entire home/apt,220,30,0,,,10,346,0,,10128
35259,647170410579568842,Rental unit in upper Manhattan (Dyckman Area),264024635,Jada,Manhattan,Inwood,40.86689673089961,-73.920022174716,Private room,92,1,2,2022-07-09,0.79,1,341,2,,10034
35260,645216921818778480,Luxurious 3 BEDROOM IN THE HEART OF ★Times Square★,328725862,Amanda,Manhattan,Hell's Kitchen,40.76113,-73.99313,Entire home/apt,979,2,2,2022-08-14,0.82,1,348,2,,10036
35261,645315165254782741,"Kips Bay 1BR w/ W/D, nr E. River & 6 Train",107434423,Blueground,Manhattan,Kips Bay,40.73959,-73.98152,Entire home/apt,248,31,0,,,453,264,0,,10010
