,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,ZipCodes
22031,42789033,Beautiful and quiet room in great neighborhood,340801756,Kenneth,Bronx,Bronxdale,40.85209,-73.86588,Private room,40,3,0,,,1,4,0,,
22063,42808686,The Boogie Down Exchange,4313527,Hezekiah,Bronx,Fordham,40.86303,-73.89839,Entire home/apt,81,30,10,2022-09-01,0.33,1,115,3,,
22066,42894615,"Sunny, Spacious Room by Stella, Smoke/Drug Free",15617507,Stella,Bronx,Morris Park,40.85046,-73.86112,Private room,42,3,46,2022-08-19,1.54,6,230,34,,
22110,42825533,Short term sublet for one: April & May,11070120,Vernon,Bronx,Fordham,40.85849,-73.90234,Private room,30,30,0,,,1,0,0,,
22147,43179761,Mi hogar es tu hogar 2,297679759,Leonor,Bronx,Tremont,40.8459,-73.89161,Private room,38,30,2,2021-07-16,0.07,2,0,0,,
22205,43207235,My Family space,155619942,Hafez,Bronx,Hunts Point,40.81279,-73.8871,Entire home/apt,60,30,0,,,1,0,0,,
22216,43218562,Modern Studio Apartment Near Hospitals & Train Bus,253690060,Shameen,Bronx,Pelham Gardens,40.86877,-73.84417,Entire home/apt,75,30,0,,,1,252,0,,
22441,43527094,Cozy studio apartment,185029671,Katherine,Bronx,Kingsbridge,40.87371,-73.90154,Entire home/apt,140,1,43,2022-09-05,1.59,2,81,33,,
22451,43530040,RV living for the nature lover in you.,122363368,Zuriel,Bronx,Baychester,40.86568,-73.83403,Entire home/apt,66,2,0,,,1,87,0,,
22468,43547178,Cozy w/ Hispanic Cultured NYC,165607672,Mariela,Bronx,Fordham,40.85847,-73.90205,Private room,48,3,24,2022-06-21,1.11,2,61,16,,
22508,43737846,"Entire place, luxury, neat and seconds from trains",118816229,Ali,Bronx,Williamsbridge,40.88201,-73.86332,Entire home/apt,160,2,37,2022-07-25,1.54,1,280,15,,
22511,43423896,you will have an awesome time,344256042,Paul,Bronx,Longwood,40.81982,-73.89796,Private room,47,1,5,2022-09-04,0.49,1,126,5,,
22546,43443260,"A room for rent, se renta una habitación",210257450,Francis,Bronx,Claremont Village,40.84249,-73.91074,Entire home/apt,85,85,0,,,1,0,0,,
22554,43604419,Private Basement Apartment Near Manhattan College”,348119186,Tito Ixcoy,Bronx,Kingsbridge,40.8848,-73.9029,Entire home/apt,150,30,1,2020-07-06,0.04,1,0,0,,
22572,43766248,MedStay w/ BathRoom 315-9C,267272502,Orfelina,Bronx,Claremont Village,40.84359,-73.90537,Private room,90,30,3,2021-11-30,0.11,28,84,1,,
22574,43769019,Nice clean and spacious  room.,348756875,Francisco,Bronx,Morris Heights,40.85211,-73.91066,Private room,30,30,0,,,1,0,0,,
22595,43614309,Cozy Spot in The Bronx,6677589,Bettinna,Bronx,Kingsbridge,40.88536,-73.89803,Private room,150,30,0,,,1,0,0,,
22601,43468359,Comfy Place by Bronx Lebanon Hospital &  Stadium!,346579486,Juliana,Bronx,Concourse Village,40.83582,-73.91451,Entire home/apt,102,5,57,2022-08-30,2.12,1,175,25,,
22649,43821239,MedStay Room  315-10D,267272502,Orfelina,Bronx,Claremont Village,40.84173,-73.90677,Private room,60,5,2,2022-01-30,0.13,28,250,1,,
22674,43847085,A Bronx Oasis in Throggs Neck!,68225611,Sharon,Bronx,Throgs Neck,40.81917,-73.81462,Entire home/apt,139,1,189,2022-08-30,7.17,1,342,78,,
22680,43813411,"Luxury apt in a Brownstone in Sobro, The Bronx",74024064,Michael,Bronx,Hunts Point,40.81394,-73.88777,Entire home/apt,149,1,130,2022-07-24,4.81,4,170,41,,
22714,43509541,"Beautiful spacious 1 BR , FULL KITCHEN, BIG YARD.",16851857,Paul,Bronx,Wakefield,40.89643,-73.84959,Entire home/apt,98,14,14,2022-08-17,0.56,10,353,4,,
22740,44262107,Basic Yankee Guest Room in Smart Apt,237277331,Pauriany,Bronx,Concourse,40.83579,-73.92027,Private room,55,2,13,2022-08-29,0.9,2,354,10,,
22755,44282642,Private 2Bed 1Bath/Short&Long Stays/NYC 20min/WiFi,356981374,Roxanne,Bronx,Baychester,40.86919,-73.84074,Entire home/apt,109,4,32,2022-01-02,1.31,1,235,9,,
22790,43959641,Fordham Manor,352057642,Emmanuel,Bronx,Fordham,40.86376,-73.89333,Shared room,50,30,0,,,1,0,0,,
22832,44083820,Farm Modern @ Rosemel Estates,19632626,Melissa,Bronx,Wakefield,40.90085,-73.84132,Entire home/apt,200,14,11,2022-08-21,1.0,1,328,11,,
22869,44139096,MedStay Studio B2,267272502,Orfelina,Bronx,Claremont Village,40.84336,-73.90514,Entire home/apt,110,5,0,,,28,130,0,,
22890,44392843,A Large Sunny Private Room,53169195,Ehssan,Bronx,Fordham,40.85569,-73.90018,Private room,35,3,1,2020-09-07,0.04,1,0,0,,
22898,44402774,"Spacious, clean and stylish room close to all.",80573754,Marisol,Bronx,Fieldston,40.88865,-73.90612,Private room,70,3,18,2022-09-04,0.7,1,323,7,,
22923,44197064,Spacious Cozy 1BR,57885474,Shully'S,Bronx,Williamsbridge,40.88002,-73.85464,Entire home/apt,100,3,66,2022-08-20,2.54,5,351,31,,
22925,44478543,Una habitacion comoda ambiente limpio y familiar.,275821782,Evelyn,Bronx,East Morrisania,40.83508,-73.88876,Private room,70,1,15,2021-06-19,0.6,1,0,0,,
22962,44642468,Quaint Island Community 20mi. from New York City!,16794996,Amanda,Bronx,City Island,40.84892,-73.78796,Entire home/apt,171,2,47,2022-08-21,2.54,1,294,23,,
22983,44532220,FINALLY  YOUR PRIVATE  HOME  AWAY  FROM HOME!*****,330209479,Pauline,Bronx,Baychester,40.87412,-73.85098,Private room,55,30,1,2020-09-02,0.04,1,0,0,,
23018,44699326,Quiet Bronx Home w/ connections to all of NYC,47696665,Sheila,Bronx,Wakefield,40.88917,-73.84927,Private room,50,5,16,2022-06-29,0.66,1,158,7,,
23054,44604668,Self contained studio full Bath & Kitchenette,16851857,Paul,Bronx,Wakefield,40.89814,-73.84928,Entire home/apt,70,4,14,2022-08-22,0.62,10,360,5,,
23074,45076771,"Ivoire Business Solutions,LLC3",181711840,Christophe,Bronx,Morris Heights,40.8534,-73.91028,Entire home/apt,176,2,25,2022-08-29,1.02,1,169,15,,
23125,45105623,Cozy Room by Stella. Smoke/Drug Free,15617507,Stella,Bronx,Van Nest,40.84518,-73.8635,Private room,39,3,28,2022-07-29,1.16,6,172,17,,
23128,45216874,Convenient Modern Bedroom - 30 minutes to Midtown,133602911,Sanyika,Bronx,Mount Hope,40.851,-73.90303,Private room,50,30,8,2022-05-31,0.35,2,55,2,,
23147,45221540,Walking Distance From Yankee Stadium & Many parks!,365301635,Subrina,Bronx,Mount Eden,40.83887,-73.91755,Private room,82,1,10,2022-09-06,2.42,3,360,10,,
23150,44958482,Cozy Apt•Driveway Parking•Near Botanical Gardens,34441607,Allison,Bronx,Morris Park,40.84622,-73.85699,Entire home/apt,74,7,12,2021-05-31,0.49,1,123,0,,
23160,45235897,AVAILABLE **PRIVATE guests Entry*Quiet Room*WIFI/📺,363403952,Mabel,Bronx,Baychester,40.87683,-73.84297,Private room,64,1,92,2022-09-01,3.84,2,85,42,,
23165,45236489,Kohzi Townhouse Apartment | Entire 1 BR,358151054,Astrid,Bronx,Mott Haven,40.81096,-73.90637,Entire home/apt,198,7,13,2022-04-24,0.55,3,24,6,,
23169,45240414,The Bronx's lovely getaway,351371283,Keke,Bronx,Eastchester,40.87811,-73.83654,Shared room,200,5,0,,,1,90,0,,
23189,45037010,The Bronx House Studio,121544270,Davis,Bronx,Wakefield,40.88839,-73.85495,Entire home/apt,135,30,0,,,1,365,0,,
23190,45268111,LUXURIOUS House with AMAZING outdoor space,39162543,Jeff,Bronx,Morris Heights,40.84971,-73.92299,Entire home/apt,313,2,14,2022-08-18,0.88,1,361,10,,
23208,45349413,"Private 2bd Suite- near Montefiore, 25 mins to NYC",262060162,Diana,Bronx,Olinville,40.88039,-73.86753,Entire home/apt,99,3,12,2022-08-11,1.03,4,34,12,,
23239,45167238,PRIZE DROP BIG *PRIVATE guests ENTRANC*WIF*TV,363403952,Mabel,Bronx,Baychester,40.87452,-73.84338,Private room,81,1,125,2022-09-02,5.16,2,174,62,,
23246,45286592,"3 mn to Bronx Lebanon, close to Yanke, D,B,4 train",157589285,Elhadj,Bronx,Claremont Village,40.83805,-73.9087,Private room,62,3,36,2022-09-04,1.53,1,330,26,,
23264,45399393,Spacious Comfortably 2 Bedrooms   Apartment,225105519,Andrea,Bronx,Wakefield,40.88332,-73.85018,Entire home/apt,325,3,7,2022-01-01,0.3,1,174,1,,
23271,45400472,Newly Renovated Apartment with Garden Access,8255401,Catherine,Bronx,Concourse,40.82087,-73.92718,Entire home/apt,149,4,73,2022-08-23,3.11,1,116,37,,
23281,45314941,Cozy and clean  private room,157438943,Anna,Bronx,Belmont,40.85829,-73.89265,Private room,60,2,0,,,1,0,0,,
23282,45179714,"Picturesque, STRAWBERRY escape in The Bronx, NY",125775383,Salwah,Bronx,Parkchester,40.83549,-73.86306,Entire home/apt,155,1,141,2022-08-25,5.79,1,346,47,,
23291,45318765,⭐️🌟Private Apartment in a Private Townhouse🌟⭐️,73676875,Jonathan,Bronx,Claremont Village,40.84316,-73.90681,Entire home/apt,93,15,11,2022-08-26,0.63,2,2,7,,
23333,45631931,Moka's Get A Way,258856587,Moka,Bronx,Mott Haven,40.81159,-73.90496,Entire home/apt,95,1,18,2022-05-23,0.82,1,312,10,,
23334,45633763,Cozy One-Bedroom - Bronx,43431319,Ryan,Bronx,Highbridge,40.83816,-73.92401,Entire home/apt,35,30,2,2021-06-08,0.11,1,0,0,,
23397,45532657,"Clean Room available, accessible to transportation",284862936,Dioris,Bronx,Mount Eden,40.8424,-73.92199,Private room,80,3,0,,,1,0,0,,
23558,45618731,Studio in Riverdale w/ optional backyard for a fee,61587120,Lynsey,Bronx,Kingsbridge,40.88377,-73.90352,Entire home/apt,137,1,63,2022-09-05,3.0,1,124,28,,
