Latitude: 40.6134, Longitude: -74.08952

Latitude: 40.60243, Longitude: -74.07695

Latitude: 40.63455, Longitude: -74.11389

Latitude: 40.62859, Longitude: -74.07695

Latitude: 40.57935, Longitude: -74.1101

Latitude: 40.61993, Longitude: -74.07329

Latitude: 40.63358, Longitude: -74.11297

Latitude: 40.62667, Longitude: -74.15076

Latitude: 40.59787, Longitude: -74.06296

Latitude: 40.63033, Longitude: -74.11345

Latitude: 40.63045, Longitude: -74.11493

Latitude: 40.64167, Longitude: -74.09808

Latitude: 40.52339, Longitude: -74.20517

Latitude: 40.63301, Longitude: -74.14626

Latitude: 40.59116, Longitude: -74.06959

Latitude: 40.62468, Longitude: -74.16731

Latitude: 40.61129, Longitude: -74.06357

Latitude: 40.6209, Longitude: -74.07516

Latitude: 40.59339, Longitude: -74.16128

Latitude: 40.61225, Longitude: -74.06337

Latitude: 40.60394, Longitude: -74.16678

Latitude: 40.61183, Longitude: -74.07265

Latitude: 40.6102, Longitude: -74.09122

Latitude: 40.62773, Longitude: -74.13181

Latitude: 40.64061, Longitude: -74.08582

Latitude: 40.64120873388328, Longitude: -74.09845686303

Latitude: 40.63561, Longitude: -74.15415

Latitude: 40.5775, Longitude: -74.11038

Latitude: 40.63587, Longitude: -74.1213

Latitude: 40.63286, Longitude: -74.08022

Latitude: 40.63205, Longitude: -74.09133

Latitude: 40.63686, Longitude: -74.1537

Latitude: 40.638, Longitude: -74.08768

Latitude: 40.63651, Longitude: -74.08917

Latitude: 40.64578, Longitude: -74.08509

Latitude: 40.57303, Longitude: -74.08528

Latitude: 40.64412, Longitude: -74.08442

Latitude: 40.63304, Longitude: -74.12164

Latitude: 40.64557, Longitude: -74.08443

Latitude: 40.61842, Longitude: -74.10242

Latitude: 40.62817, Longitude: -74.07965

Latitude: 40.62667, Longitude: -74.0798

Latitude: 40.63539, Longitude: -74.08145

Latitude: 40.61009, Longitude: -74.06171

Latitude: 40.61968, Longitude: -74.06875

Latitude: 40.56635, Longitude: -74.13037

Latitude: 40.63897, Longitude: -74.08576

Latitude: 40.57877, Longitude: -74.11005

Latitude: 40.63564, Longitude: -74.08153

Latitude: 40.6337, Longitude: -74.08355

Latitude: 40.5586, Longitude: -74.17985

Latitude: 40.62405, Longitude: -74.12465

