Latitude: 40.67948, Longitude: -73.85335

Latitude: 40.73068, Longitude: -73.85823

Latitude: 40.67111, Longitude: -73.76824

Latitude: 40.74269, Longitude: -73.95728

Latitude: 40.76582, Longitude: -73.92871

Latitude: 40.74578, Longitude: -73.89827

Latitude: 40.75683, Longitude: -73.91283

Latitude: 40.75631, Longitude: -73.92321

Latitude: 40.77603, Longitude: -73.918

Latitude: 40.76261, Longitude: -73.94082

Latitude: 40.58474, Longitude: -73.81319

Latitude: 40.693348, Longitude: -73.824554

Latitude: 40.74341, Longitude: -73.92158

Latitude: 40.7491, Longitude: -73.94815

Latitude: 40.77703, Longitude: -73.91756

Latitude: 40.69439, Longitude: -73.86454

Latitude: 40.74021, Longitude: -73.92265

Latitude: 40.69412, Longitude: -73.86265

Latitude: 40.73931, Longitude: -73.89989

Latitude: 40.74382, Longitude: -73.90299

Latitude: 40.7264, Longitude: -73.87104

Latitude: 40.76114, Longitude: -73.91987

Latitude: 40.75123, Longitude: -73.87435

Latitude: 40.74897, Longitude: -73.9209

Latitude: 40.74426, Longitude: -73.95789

Latitude: 40.77758, Longitude: -73.9095

Latitude: 40.72805, Longitude: -73.84948

Latitude: 40.75474, Longitude: -73.81985

Latitude: 40.70977, Longitude: -73.91657

Latitude: 40.75605, Longitude: -73.82007

Latitude: 40.77423, Longitude: -73.91815

Latitude: 40.76381, Longitude: -73.83327

Latitude: 40.7712, Longitude: -73.91705

Latitude: 40.58493, Longitude: -73.81736

Latitude: 40.6921, Longitude: -73.84813

Latitude: 40.71558, Longitude: -73.88233

Latitude: 40.74515, Longitude: -73.90865

Latitude: 40.73402, Longitude: -73.85468

Latitude: 40.74349, Longitude: -73.94954

Latitude: 40.7393, Longitude: -73.89958

Latitude: 40.77025, Longitude: -73.92628

Latitude: 40.77797, Longitude: -73.90604

Latitude: 40.77501, Longitude: -73.92541

Latitude: 40.69962, Longitude: -73.90545

Latitude: 40.66269, Longitude: -73.83419

Latitude: 40.76187, Longitude: -73.80418

Latitude: 40.76865, Longitude: -73.91953

Latitude: 40.73566, Longitude: -73.89882

Latitude: 40.76514, Longitude: -73.93361

Latitude: 40.75193, Longitude: -73.89085

Latitude: 40.58921, Longitude: -73.79508

Latitude: 40.73525, Longitude: -73.85274

Latitude: 40.7759, Longitude: -73.91432

Latitude: 40.58861, Longitude: -73.81489

Latitude: 40.74648, Longitude: -73.90116

Latitude: 40.74151, Longitude: -73.88053

Latitude: 40.75324, Longitude: -73.91308

Latitude: 40.75481, Longitude: -73.916

Latitude: 40.74329, Longitude: -73.92317

Latitude: 40.76826, Longitude: -73.9283

Latitude: 40.75482, Longitude: -73.90828

Latitude: 40.7512, Longitude: -73.94019

Latitude: 40.70909, Longitude: -73.8181

Latitude: 40.74402, Longitude: -73.9157

Latitude: 40.77, Longitude: -73.92833

Latitude: 40.76315, Longitude: -73.92709

Latitude: 40.704, Longitude: -73.89389

Latitude: 40.74246, Longitude: -73.9272

Latitude: 40.74674, Longitude: -73.88593

Latitude: 40.77443, Longitude: -73.91925

Latitude: 40.77364, Longitude: -73.91987

Latitude: 40.76412, Longitude: -73.88197

Latitude: 40.74205, Longitude: -73.90862

Latitude: 40.7427, Longitude: -73.91262

Latitude: 40.75086, Longitude: -73.88755

Latitude: 40.76271, Longitude: -73.90882

Latitude: 40.76341, Longitude: -73.928

Latitude: 40.75351, Longitude: -73.89483

Latitude: 40.72452, Longitude: -73.90629

Latitude: 40.67495, Longitude: -73.80526

Latitude: 40.75824, Longitude: -73.9202

Latitude: 40.76054, Longitude: -73.91786

Latitude: 40.70067, Longitude: -73.90657

Latitude: 40.70899, Longitude: -73.9027

Latitude: 40.77172, Longitude: -73.91769

Latitude: 40.77769, Longitude: -73.78206

Latitude: 40.75061, Longitude: -73.93908

Latitude: 40.74372, Longitude: -73.90856

Latitude: 40.71336, Longitude: -73.849

Latitude: 40.73363, Longitude: -73.79806

Latitude: 40.68491, Longitude: -73.79561

Latitude: 40.74808, Longitude: -73.90404

Latitude: 40.77304, Longitude: -73.91167

Latitude: 40.74283, Longitude: -73.95002

Latitude: 40.76497, Longitude: -73.91029

Latitude: 40.75841, Longitude: -73.91544

Latitude: 40.76191, Longitude: -73.92119

Latitude: 40.72005, Longitude: -73.80164

Latitude: 40.72872, Longitude: -73.82548

Latitude: 40.70472, Longitude: -73.91047

Latitude: 40.70178, Longitude: -73.90558

Latitude: 40.73619, Longitude: -73.87359

Latitude: 40.70453, Longitude: -73.90152

Latitude: 40.76421, Longitude: -73.92846

Latitude: 40.7712, Longitude: -73.9163

Latitude: 40.70054, Longitude: -73.82785

Latitude: 40.72415, Longitude: -73.73002

Latitude: 40.77495, Longitude: -73.92759

Latitude: 40.75863, Longitude: -73.92792

Latitude: 40.74776, Longitude: -73.94562

Latitude: 40.77272, Longitude: -73.90757

Latitude: 40.76583, Longitude: -73.93014

Latitude: 40.76536, Longitude: -73.91544

Latitude: 40.75621, Longitude: -73.88232

Latitude: 40.75671, Longitude: -73.92483

Latitude: 40.74859, Longitude: -73.89214

Latitude: 40.75894, Longitude: -73.89389

Latitude: 40.76888, Longitude: -73.90807

Latitude: 40.74491, Longitude: -73.91192

Latitude: 40.76066, Longitude: -73.91519

Latitude: 40.76624, Longitude: -73.93338

Latitude: 40.74089, Longitude: -73.92051

Latitude: 40.73158, Longitude: -73.78746

Latitude: 40.70705, Longitude: -73.83346

Latitude: 40.76601, Longitude: -73.93388

Latitude: 40.74314, Longitude: -73.91563

Latitude: 40.7648, Longitude: -73.88255

Latitude: 40.74384, Longitude: -73.92114

Latitude: 40.74674, Longitude: -73.88593

Latitude: 40.75962, Longitude: -73.91419

Latitude: 40.74651, Longitude: -73.954

Latitude: 40.68182, Longitude: -73.84442

Latitude: 40.72076, Longitude: -73.8628

Latitude: 40.76944, Longitude: -73.91939

Latitude: 40.77173, Longitude: -73.92767

Latitude: 40.59009, Longitude: -73.81323

Latitude: 40.75677, Longitude: -73.91624

Latitude: 40.702, Longitude: -73.90193

Latitude: 40.75741, Longitude: -73.92509

Latitude: 40.75684, Longitude: -73.87709

Latitude: 40.75794208532509, Longitude: -73.82971288898162

Latitude: 40.75394, Longitude: -73.87986

Latitude: 40.76523, Longitude: -73.92812

Latitude: 40.76791, Longitude: -73.9204

Latitude: 40.70547, Longitude: -73.91432

Latitude: 40.77727, Longitude: -73.91761

Latitude: 40.74401, Longitude: -73.91331

Latitude: 40.74537, Longitude: -73.83252

Latitude: 40.74214, Longitude: -73.90236

Latitude: 40.75279, Longitude: -73.94089

Latitude: 40.78797, Longitude: -73.7804

Latitude: 40.76024, Longitude: -73.92986

Latitude: 40.66843, Longitude: -73.82541

Latitude: 40.71269, Longitude: -73.85365

Latitude: 40.66228, Longitude: -73.76676

Latitude: 40.69579, Longitude: -73.83174

Latitude: 40.74425, Longitude: -73.94953

Latitude: 40.74537, Longitude: -73.83252

Latitude: 40.75976, Longitude: -73.92603

Latitude: 40.59621, Longitude: -73.75413

Latitude: 40.69093, Longitude: -73.77806

Latitude: 40.73794, Longitude: -73.85343

Latitude: 40.59511, Longitude: -73.75424

Latitude: 40.69461, Longitude: -73.79604

Latitude: 40.5963, Longitude: -73.75593

Latitude: 40.59507, Longitude: -73.75408

Latitude: 40.7632, Longitude: -73.92515

Latitude: 40.7459, Longitude: -73.91796

Latitude: 40.76244, Longitude: -73.9249

Latitude: 40.70835, Longitude: -73.91158

Latitude: 40.76739, Longitude: -73.91768

Latitude: 40.59008, Longitude: -73.79276

Latitude: 40.70664, Longitude: -73.83395

Latitude: 40.7064, Longitude: -73.83327

Latitude: 40.70285, Longitude: -73.90973

Latitude: 40.75541, Longitude: -73.92505

Latitude: 40.76279, Longitude: -73.92039

Latitude: 40.76826, Longitude: -73.9155

Latitude: 40.72197, Longitude: -73.86924

Latitude: 40.72574, Longitude: -73.78878

Latitude: 40.76081, Longitude: -73.92886

Latitude: 40.754, Longitude: -73.80858

Latitude: 40.76204, Longitude: -73.80576

Latitude: 40.72879, Longitude: -73.856232

Latitude: 40.74299, Longitude: -73.91576

Latitude: 40.74537, Longitude: -73.83252

Latitude: 40.7485, Longitude: -73.94418

Latitude: 40.76499, Longitude: -73.87628

Latitude: 40.7385, Longitude: -73.92413

Latitude: 40.74954, Longitude: -73.90383

Latitude: 40.70389, Longitude: -73.91017

Latitude: 40.72879, Longitude: -73.856232

Latitude: 40.70299, Longitude: -73.90543

Latitude: 40.76039, Longitude: -73.92187

Latitude: 40.76461, Longitude: -73.93263

Latitude: 40.74427, Longitude: -73.95475

Latitude: 40.77387, Longitude: -73.91778

Latitude: 40.71305, Longitude: -73.85147

Latitude: 40.75643, Longitude: -73.82163

Latitude: 40.76711, Longitude: -73.9229

Latitude: 40.70373, Longitude: -73.90374

Latitude: 40.74385, Longitude: -73.87613

Latitude: 40.74365, Longitude: -73.92481

Latitude: 40.59559, Longitude: -73.78886

Latitude: 40.59411, Longitude: -73.79647

Latitude: 40.77915, Longitude: -73.90902

Latitude: 40.75385, Longitude: -73.81984

Latitude: 40.75433, Longitude: -73.92046

Latitude: 40.7583, Longitude: -73.9315

Latitude: 40.69178, Longitude: -73.8385

Latitude: 40.72509, Longitude: -73.89317

Latitude: 40.75509, Longitude: -73.83233

Latitude: 40.74072, Longitude: -73.89341

Latitude: 40.75859, Longitude: -73.91541

Latitude: 40.77519, Longitude: -73.91247

Latitude: 40.74109, Longitude: -73.92006

Latitude: 40.75075, Longitude: -73.8873

Latitude: 40.76519, Longitude: -73.92102

Latitude: 40.73887, Longitude: -73.82936

Latitude: 40.68457, Longitude: -73.75989

Latitude: 40.6986, Longitude: -73.83867

Latitude: 40.76999, Longitude: -73.92404

Latitude: 40.76993, Longitude: -73.91412

Latitude: 40.75456, Longitude: -73.80637

Latitude: 40.68476, Longitude: -73.75873

Latitude: 40.69129, Longitude: -73.85222

Latitude: 40.76813, Longitude: -73.93081

Latitude: 40.76385, Longitude: -73.92604

Latitude: 40.73713, Longitude: -73.8741

Latitude: 40.77133, Longitude: -73.90213

Latitude: 40.76237, Longitude: -73.92069
